transaction_id,amount,region_code,timestamp
TXN00001,55.64,MW-88,2026-07-20T12:00:00Z
TXN00002,481.48,MW-88,2026-07-20T12:00:00Z
TXN00003,80.51,MW-88,2026-07-20T12:00:00Z
TXN00004,430.61,MW-88,2026-07-20T12:00:00Z
TXN00005,371.3,MW-88,2026-07-20T12:00:00Z
TXN00006,411.08,MW-88,2026-07-20T12:00:00Z
TXN00007,131.91,MW-88,2026-07-20T12:00:00Z
TXN00008,103.95,MW-88,2026-07-20T12:00:00Z
TXN00009,282.26,MW-88,2026-07-20T12:00:00Z
TXN00010,129.14,MW-88,2026-07-20T12:00:00Z
TXN00011,249.81,MW-88,2026-07-20T12:00:00Z
TXN00012,218.94,MW-88,2026-07-20T12:00:00Z
TXN00013,226.23,MW-88,2026-07-20T12:00:00Z
TXN00014,182.52,MW-88,2026-07-20T12:00:00Z
TXN00015,177.76,MW-88,2026-07-20T12:00:00Z
TXN00016,400.21,MW-88,2026-07-20T12:00:00Z
TXN00017,424.23,MW-88,2026-07-20T12:00:00Z
TXN00018,54.6,MW-88,2026-07-20T12:00:00Z
TXN00019,493.28,MW-88,2026-07-20T12:00:00Z
TXN00020,76.32,MW-88,2026-07-20T12:00:00Z
TXN00021,229.04,MW-88,2026-07-20T12:00:00Z
TXN00022,472.23,MW-88,2026-07-20T12:00:00Z
TXN00023,368.28,MW-88,2026-07-20T12:00:00Z
TXN00024,203.91,MW-88,2026-07-20T12:00:00Z
TXN00025,408.6,MW-88,2026-07-20T12:00:00Z
TXN00026,189.87,MW-88,2026-07-20T12:00:00Z
TXN00027,98.43,MW-88,2026-07-20T12:00:00Z
TXN00028,119.41,MW-88,2026-07-20T12:00:00Z
TXN00029,154.26,MW-88,2026-07-20T12:00:00Z
TXN00030,46.5,MW-88,2026-07-20T12:00:00Z
TXN00031,320.3,MW-88,2026-07-20T12:00:00Z
TXN00032,375.74,MW-88,2026-07-20T12:00:00Z
TXN00033,74.89,MW-88,2026-07-20T12:00:00Z
TXN00034,304.48,MW-88,2026-07-20T12:00:00Z
TXN00035,378.55,MW-88,2026-07-20T12:00:00Z
TXN00036,346.12,MW-88,2026-07-20T12:00:00Z
TXN00037,89.77,MW-88,2026-07-20T12:00:00Z
TXN00038,413.89,MW-88,2026-07-20T12:00:00Z
TXN00039,108.54,MW-88,2026-07-20T12:00:00Z
TXN00040,216.88,MW-88,2026-07-20T12:00:00Z
TXN00041,280.12,MW-88,2026-07-20T12:00:00Z
TXN00042,113.23,MW-88,2026-07-20T12:00:00Z
TXN00043,165.74,MW-88,2026-07-20T12:00:00Z
TXN00044,68.98,MW-88,2026-07-20T12:00:00Z
TXN00045,161.88,MW-88,2026-07-20T12:00:00Z
TXN00046,225.82,MW-88,2026-07-20T12:00:00Z
TXN00047,21.07,MW-88,2026-07-20T12:00:00Z
TXN00048,68.49,MW-88,2026-07-20T12:00:00Z
TXN00049,258.3,MW-88,2026-07-20T12:00:00Z
TXN00050,216.29,MW-88,2026-07-20T12:00:00Z
TXN00051,166.43,MW-88,2026-07-20T12:00:00Z
TXN00052,299.79,MW-88,2026-07-20T12:00:00Z
TXN00053,260.01,MW-88,2026-07-20T12:00:00Z
TXN00054,434.99,MW-88,2026-07-20T12:00:00Z
TXN00055,321.37,MW-88,2026-07-20T12:00:00Z
TXN00056,96.88,MW-88,2026-07-20T12:00:00Z
TXN00057,468.32,MW-88,2026-07-20T12:00:00Z
TXN00058,127.51,MW-88,2026-07-20T12:00:00Z
TXN00059,133.81,MW-88,2026-07-20T12:00:00Z
TXN00060,162.66,MW-88,2026-07-20T12:00:00Z
TXN00061,456.8,MW-88,2026-07-20T12:00:00Z
TXN00062,457.8,MW-88,2026-07-20T12:00:00Z
TXN00063,282.61,MW-88,2026-07-20T12:00:00Z
TXN00064,250.33,MW-88,2026-07-20T12:00:00Z
TXN00065,11.86,MW-88,2026-07-20T12:00:00Z
TXN00066,469.47,MW-88,2026-07-20T12:00:00Z
TXN00067,427.8,MW-88,2026-07-20T12:00:00Z
TXN00068,160.44,MW-88,2026-07-20T12:00:00Z
TXN00069,390.79,MW-88,2026-07-20T12:00:00Z
TXN00070,27.09,MW-88,2026-07-20T12:00:00Z
TXN00071,308.34,MW-88,2026-07-20T12:00:00Z
TXN00072,486.69,MW-88,2026-07-20T12:00:00Z
TXN00073,265.28,MW-88,2026-07-20T12:00:00Z
TXN00074,211.49,MW-88,2026-07-20T12:00:00Z
TXN00075,447.32,MW-88,2026-07-20T12:00:00Z
TXN00076,59.19,MW-88,2026-07-20T12:00:00Z
TXN00077,414.71,MW-88,2026-07-20T12:00:00Z
TXN00078,98.62,MW-88,2026-07-20T12:00:00Z
TXN00079,76.97,MW-88,2026-07-20T12:00:00Z
TXN00080,43.87,MW-88,2026-07-20T12:00:00Z
TXN00081,31.96,MW-88,2026-07-20T12:00:00Z
TXN00082,331.41,MW-88,2026-07-20T12:00:00Z
TXN00083,85.26,MW-88,2026-07-20T12:00:00Z
TXN00084,324.62,MW-88,2026-07-20T12:00:00Z
TXN00085,316.12,MW-88,2026-07-20T12:00:00Z
TXN00086,392.29,MW-88,2026-07-20T12:00:00Z
TXN00087,440.85,MW-88,2026-07-20T12:00:00Z
TXN00088,176.01,MW-88,2026-07-20T12:00:00Z
TXN00089,265.46,MW-88,2026-07-20T12:00:00Z
TXN00090,215.47,MW-88,2026-07-20T12:00:00Z
TXN00091,246.69,MW-88,2026-07-20T12:00:00Z
TXN00092,300.19,MW-88,2026-07-20T12:00:00Z
TXN00093,435.88,MW-88,2026-07-20T12:00:00Z
TXN00094,494.26,MW-88,2026-07-20T12:00:00Z
TXN00095,354.19,MW-88,2026-07-20T12:00:00Z
TXN00096,152.73,MW-88,2026-07-20T12:00:00Z
TXN00097,435.43,MW-88,2026-07-20T12:00:00Z
TXN00098,440.87,MW-88,2026-07-20T12:00:00Z
TXN00099,93.32,MW-88,2026-07-20T12:00:00Z
TXN00100,98.41,MW-88,2026-07-20T12:00:00Z
